Country,Continent,Month,Year,Season,Type Shark
Australia,Oceania,12,1929,Summer,Tiger
South Africa,Africa,12,1927,Summer,White Shark
Italy,Europe,7,1926,Summer,White Shark
Australia,Oceania,3,1926,Autumn,White Shark
Australia,Oceania,11,1925,Spring,Tiger
South Africa,Africa,5,1922,Autumn,White Shark
Australia,Oceania,3,1922,Autumn,White Shark
Australia,Oceania,2,1922,Summer,White Shark
Australia,Oceania,12,1907,Summer,Bull
Malta,Europe,3,1907,Spring,White Shark
Egypt,Africa,8,1905,Winter,Tiger
South Africa,Africa,7,1901,Winter,White Shark
Australia,Oceania,11,1880,Spring,Bull
Italy,Europe,9,1868,Autumn,White Shark
South Africa,Africa,2,1852,Summer,White Shark
